team,gf,ga,h_gf,h_ga,a_gf,a_ga
Arsenal,91,29,48,16,43,13
Aston Villa,76,61,48,28,28,33
Bournemouth,54,67,27,28,27,39
Brentford,56,65,29,34,27,31
Brighton,55,62,30,27,25,35
Burnley,41,78,19,43,22,35
Chelsea,77,63,44,26,33,37
Crystal Palace,57,58,37,26,20,32
Everton,40,51,22,18,18,33
Fulham,55,61,31,24,24,37
Liverpool,86,41,49,17,37,24
Luton Town,52,85,28,37,24,48
Manchester City,96,34,51,16,45,18
Manchester Utd,57,58,31,28,26,30
Newcastle Utd,85,62,49,22,36,40
Nott'ham Forest,49,67,27,30,22,37
Sheffield Utd,35,104,19,57,16,47
Tottenham,74,61,38,27,36,34
West Ham,60,74,31,28,29,46
Wolves,50,65,26,30,24,35
