team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Atalanta,['Pisa-H'],['Parma-A'],['Lecce-H'],['Torino-A'],['Juventus-A'],['Como-H'],['Lazio-H'],['Cremonese-A'],['Milan-H'],['Udinese-A'],['Sassuolo-H'],['Napoli-A'],['Fiorentina-H'],['Verona-A'],['Cagliari-H'],['Genoa-A'],['Inter-H'],['Roma-H'],['Bologna-A'],['Torino-H'],['Pisa-A'],['Parma-H'],['Como-A'],['Cremonese-H'],['Lazio-A'],['Napoli-H'],['Sassuolo-A'],['Udinese-H'],['Inter-A'],['Verona-H'],['Lecce-A'],['Juventus-H'],['Roma-A'],['Cagliari-A'],['Genoa-H'],['Milan-A'],['Bologna-H'],['Fiorentina-A']
Bologna,['Roma-A'],['Como-H'],['Milan-A'],['Genoa-H'],['Lecce-A'],['Pisa-H'],['Cagliari-A'],['Fiorentina-A'],['Torino-H'],['Parma-A'],['Napoli-H'],['Udinese-A'],['Cremonese-H'],['Lazio-A'],['Juventus-H'],['Verona-A'],['Sassuolo-H'],['Inter-A'],['Atalanta-H'],['Como-A'],['Fiorentina-H'],['Genoa-A'],['Milan-H'],['Parma-H'],['Torino-A'],['Udinese-H'],['Pisa-A'],['Verona-H'],['Sassuolo-A'],['Lazio-H'],['Cremonese-A'],['Lecce-H'],['Juventus-A'],['Roma-H'],['Cagliari-H'],['Napoli-A'],['Atalanta-A'],['Inter-H']
Cagliari,['Fiorentina-H'],['Napoli-A'],['Parma-H'],['Lecce-A'],['Inter-H'],['Udinese-A'],['Bologna-H'],['Verona-A'],['Sassuolo-H'],['Lazio-A'],['Como-A'],['Genoa-H'],['Juventus-A'],['Roma-H'],['Atalanta-A'],['Pisa-H'],['Torino-A'],['Milan-H'],['Cremonese-A'],['Genoa-A'],['Juventus-H'],['Fiorentina-A'],['Verona-H'],['Roma-A'],['Lecce-H'],['Lazio-H'],['Parma-A'],['Como-H'],['Pisa-A'],['Napoli-H'],['Sassuolo-A'],['Cremonese-H'],['Inter-A'],['Atalanta-H'],['Bologna-A'],['Udinese-H'],['Torino-H'],['Milan-A']
Como,['Lazio-H'],['Bologna-A'],['Genoa-H'],['Fiorentina-A'],['Cremonese-H'],['Atalanta-A'],['Juventus-H'],['Parma-A'],['Verona-H'],['Napoli-A'],['Cagliari-H'],['Torino-A'],['Sassuolo-H'],['Inter-A'],['Roma-A'],['Milan-H'],['Lecce-A'],['Udinese-H'],['Pisa-A'],['Bologna-H'],['Lazio-A'],['Torino-H'],['Atalanta-H'],['Milan-A'],['Fiorentina-H'],['Juventus-A'],['Lecce-H'],['Cagliari-A'],['Roma-H'],['Pisa-H'],['Udinese-A'],['Inter-H'],['Sassuolo-A'],['Genoa-A'],['Napoli-H'],['Verona-A'],['Parma-H'],['Cremonese-A']
Cremonese,['Milan-A'],['Sassuolo-H'],['Verona-A'],['Parma-H'],['Como-A'],['Inter-A'],['Udinese-H'],['Atalanta-H'],['Genoa-A'],['Juventus-H'],['Pisa-A'],['Roma-H'],['Bologna-A'],['Lecce-H'],['Torino-A'],['Lazio-A'],['Napoli-H'],['Fiorentina-A'],['Cagliari-H'],['Juventus-A'],['Verona-H'],['Sassuolo-A'],['Inter-H'],['Atalanta-A'],['Genoa-H'],['Roma-A'],['Milan-H'],['Lecce-A'],['Fiorentina-H'],['Parma-A'],['Bologna-H'],['Cagliari-A'],['Torino-H'],['Napoli-A'],['Lazio-H'],['Pisa-H'],['Udinese-A'],['Como-H']
Fiorentina,['Cagliari-A'],['Torino-A'],['Napoli-H'],['Como-H'],['Pisa-A'],['Roma-H'],['Milan-A'],['Bologna-H'],['Inter-A'],['Lecce-H'],['Genoa-A'],['Juventus-H'],['Atalanta-A'],['Sassuolo-A'],['Verona-H'],['Udinese-H'],['Parma-A'],['Cremonese-H'],['Lazio-A'],['Milan-H'],['Bologna-A'],['Cagliari-H'],['Napoli-A'],['Torino-H'],['Como-A'],['Pisa-H'],['Udinese-A'],['Parma-H'],['Cremonese-A'],['Inter-H'],['Verona-A'],['Lazio-H'],['Lecce-A'],['Sassuolo-H'],['Roma-A'],['Genoa-H'],['Juventus-A'],['Atalanta-H']
Genoa,['Lecce-H'],['Juventus-H'],['Como-A'],['Bologna-A'],['Lazio-H'],['Napoli-A'],['Parma-H'],['Torino-A'],['Cremonese-H'],['Sassuolo-A'],['Fiorentina-H'],['Cagliari-A'],['Verona-H'],['Udinese-A'],['Inter-H'],['Atalanta-H'],['Roma-A'],['Pisa-H'],['Milan-A'],['Cagliari-H'],['Parma-A'],['Bologna-H'],['Lazio-A'],['Napoli-H'],['Cremonese-A'],['Torino-H'],['Inter-A'],['Roma-H'],['Verona-A'],['Udinese-H'],['Juventus-A'],['Sassuolo-H'],['Pisa-A'],['Como-H'],['Atalanta-A'],['Fiorentina-A'],['Milan-H'],['Lecce-A']
Inter,['Torino-H'],['Udinese-H'],['Juventus-A'],['Sassuolo-H'],['Cagliari-A'],['Cremonese-H'],['Roma-A'],['Napoli-A'],['Fiorentina-H'],['Verona-A'],['Lazio-H'],['Milan-H'],['Pisa-A'],['Como-H'],['Genoa-A'],['Lecce-H'],['Atalanta-A'],['Bologna-H'],['Parma-A'],['Napoli-H'],['Udinese-A'],['Pisa-H'],['Cremonese-A'],['Sassuolo-A'],['Juventus-H'],['Lecce-A'],['Genoa-H'],['Milan-A'],['Atalanta-H'],['Fiorentina-A'],['Roma-H'],['Como-A'],['Cagliari-H'],['Torino-A'],['Parma-H'],['Lazio-A'],['Verona-H'],['Bologna-A']
Juventus,['Parma-H'],['Genoa-A'],['Inter-H'],['Verona-A'],['Atalanta-H'],['Milan-H'],['Como-A'],['Lazio-A'],['Udinese-H'],['Cremonese-A'],['Torino-H'],['Fiorentina-A'],['Cagliari-H'],['Napoli-A'],['Bologna-A'],['Roma-H'],['Pisa-A'],['Lecce-H'],['Sassuolo-A'],['Cremonese-H'],['Cagliari-A'],['Napoli-H'],['Parma-A'],['Lazio-H'],['Inter-A'],['Como-H'],['Roma-A'],['Pisa-H'],['Udinese-A'],['Sassuolo-H'],['Genoa-H'],['Atalanta-A'],['Bologna-H'],['Milan-A'],['Verona-H'],['Lecce-A'],['Fiorentina-H'],['Torino-A']
Lazio,['Como-A'],['Verona-H'],['Sassuolo-A'],['Roma-H'],['Genoa-A'],['Torino-H'],['Atalanta-A'],['Juventus-H'],['Pisa-A'],['Cagliari-H'],['Inter-A'],['Lecce-H'],['Milan-A'],['Bologna-H'],['Parma-A'],['Cremonese-H'],['Udinese-A'],['Napoli-H'],['Fiorentina-H'],['Verona-A'],['Como-H'],['Lecce-A'],['Genoa-H'],['Juventus-A'],['Atalanta-H'],['Cagliari-A'],['Torino-A'],['Sassuolo-H'],['Milan-H'],['Bologna-A'],['Parma-H'],['Fiorentina-A'],['Napoli-A'],['Udinese-H'],['Cremonese-A'],['Inter-H'],['Roma-A'],['Pisa-H']
Lecce,['Genoa-A'],['Milan-H'],['Atalanta-A'],['Cagliari-H'],['Bologna-H'],['Parma-A'],['Sassuolo-H'],['Udinese-A'],['Napoli-H'],['Fiorentina-A'],['Verona-H'],['Lazio-A'],['Torino-H'],['Cremonese-A'],['Pisa-H'],['Inter-A'],['Como-H'],['Juventus-A'],['Roma-H'],['Parma-H'],['Milan-A'],['Lazio-H'],['Torino-A'],['Udinese-H'],['Cagliari-A'],['Inter-H'],['Como-A'],['Cremonese-H'],['Napoli-A'],['Roma-A'],['Atalanta-H'],['Bologna-A'],['Fiorentina-H'],['Verona-A'],['Pisa-A'],['Juventus-H'],['Sassuolo-A'],['Genoa-H']
Milan,['Cremonese-H'],['Lecce-A'],['Bologna-H'],['Udinese-A'],['Napoli-H'],['Juventus-A'],['Fiorentina-H'],['Pisa-H'],['Atalanta-A'],['Roma-H'],['Parma-A'],['Inter-A'],['Lazio-H'],['Torino-A'],['Sassuolo-H'],['Como-A'],['Verona-H'],['Cagliari-A'],['Genoa-H'],['Fiorentina-A'],['Lecce-H'],['Roma-A'],['Bologna-A'],['Como-H'],['Pisa-A'],['Parma-H'],['Cremonese-A'],['Inter-H'],['Lazio-A'],['Torino-H'],['Napoli-A'],['Udinese-H'],['Verona-A'],['Juventus-H'],['Sassuolo-A'],['Atalanta-H'],['Genoa-A'],['Cagliari-H']
Napoli,['Sassuolo-A'],['Cagliari-H'],['Fiorentina-A'],['Pisa-H'],['Milan-A'],['Genoa-H'],['Torino-A'],['Inter-H'],['Lecce-A'],['Como-H'],['Bologna-A'],['Atalanta-H'],['Roma-A'],['Juventus-H'],['Udinese-A'],['Parma-H'],['Cremonese-A'],['Lazio-A'],['Verona-H'],['Inter-A'],['Sassuolo-H'],['Juventus-A'],['Fiorentina-H'],['Genoa-A'],['Roma-H'],['Atalanta-A'],['Verona-A'],['Torino-H'],['Lecce-H'],['Cagliari-A'],['Milan-H'],['Parma-A'],['Lazio-H'],['Cremonese-H'],['Como-A'],['Bologna-H'],['Pisa-A'],['Udinese-H']
Parma,['Juventus-A'],['Atalanta-H'],['Cagliari-A'],['Cremonese-A'],['Torino-H'],['Lecce-H'],['Genoa-A'],['Como-H'],['Roma-A'],['Bologna-H'],['Milan-H'],['Verona-A'],['Udinese-H'],['Pisa-A'],['Lazio-H'],['Napoli-A'],['Fiorentina-H'],['Sassuolo-A'],['Inter-H'],['Lecce-A'],['Genoa-H'],['Atalanta-A'],['Juventus-H'],['Bologna-A'],['Verona-H'],['Milan-A'],['Cagliari-H'],['Fiorentina-A'],['Torino-A'],['Cremonese-H'],['Lazio-A'],['Napoli-H'],['Udinese-A'],['Pisa-H'],['Inter-A'],['Roma-H'],['Como-A'],['Sassuolo-H']
Pisa,['Atalanta-A'],['Roma-H'],['Udinese-H'],['Napoli-A'],['Fiorentina-H'],['Bologna-A'],['Verona-H'],['Milan-A'],['Lazio-H'],['Torino-A'],['Cremonese-H'],['Sassuolo-A'],['Inter-H'],['Parma-H'],['Lecce-A'],['Cagliari-A'],['Juventus-H'],['Genoa-A'],['Como-H'],['Udinese-A'],['Atalanta-H'],['Inter-A'],['Sassuolo-H'],['Verona-A'],['Milan-H'],['Fiorentina-A'],['Bologna-H'],['Juventus-A'],['Cagliari-H'],['Como-A'],['Torino-H'],['Roma-A'],['Genoa-H'],['Parma-A'],['Lecce-H'],['Cremonese-A'],['Napoli-H'],['Lazio-A']
Roma,['Bologna-H'],['Pisa-A'],['Torino-H'],['Lazio-A'],['Verona-H'],['Fiorentina-A'],['Inter-H'],['Sassuolo-A'],['Parma-H'],['Milan-A'],['Udinese-H'],['Cremonese-A'],['Napoli-H'],['Cagliari-A'],['Como-H'],['Juventus-A'],['Genoa-H'],['Atalanta-A'],['Lecce-A'],['Sassuolo-H'],['Torino-A'],['Milan-H'],['Udinese-A'],['Cagliari-H'],['Napoli-A'],['Cremonese-H'],['Juventus-H'],['Genoa-A'],['Como-A'],['Lecce-H'],['Inter-A'],['Pisa-H'],['Atalanta-H'],['Bologna-A'],['Fiorentina-H'],['Parma-A'],['Lazio-H'],['Verona-A']
Sassuolo,['Napoli-H'],['Cremonese-A'],['Lazio-H'],['Inter-A'],['Udinese-H'],['Verona-A'],['Lecce-A'],['Roma-H'],['Cagliari-A'],['Genoa-H'],['Atalanta-A'],['Pisa-H'],['Como-A'],['Fiorentina-H'],['Milan-A'],['Torino-H'],['Bologna-A'],['Parma-H'],['Juventus-H'],['Roma-A'],['Napoli-A'],['Cremonese-H'],['Pisa-A'],['Inter-H'],['Udinese-A'],['Verona-H'],['Atalanta-H'],['Lazio-A'],['Bologna-H'],['Juventus-A'],['Cagliari-H'],['Genoa-A'],['Como-H'],['Fiorentina-A'],['Milan-H'],['Torino-A'],['Lecce-H'],['Parma-A']
Torino,['Inter-A'],['Fiorentina-H'],['Roma-A'],['Atalanta-H'],['Parma-A'],['Lazio-A'],['Napoli-H'],['Genoa-H'],['Bologna-A'],['Pisa-H'],['Juventus-A'],['Como-H'],['Lecce-A'],['Milan-H'],['Cremonese-H'],['Sassuolo-A'],['Cagliari-H'],['Verona-A'],['Udinese-H'],['Atalanta-A'],['Roma-H'],['Como-A'],['Lecce-H'],['Fiorentina-A'],['Bologna-H'],['Genoa-A'],['Lazio-H'],['Napoli-A'],['Parma-H'],['Milan-A'],['Pisa-A'],['Verona-H'],['Cremonese-A'],['Inter-H'],['Udinese-A'],['Sassuolo-H'],['Cagliari-A'],['Juventus-H']
Udinese,['Verona-H'],['Inter-A'],['Pisa-A'],['Milan-H'],['Sassuolo-A'],['Cagliari-H'],['Cremonese-A'],['Lecce-H'],['Juventus-A'],['Atalanta-H'],['Roma-A'],['Bologna-H'],['Parma-A'],['Genoa-H'],['Napoli-H'],['Fiorentina-A'],['Lazio-H'],['Como-A'],['Torino-A'],['Pisa-H'],['Inter-H'],['Verona-A'],['Roma-H'],['Lecce-A'],['Sassuolo-H'],['Bologna-A'],['Fiorentina-H'],['Atalanta-A'],['Juventus-H'],['Genoa-A'],['Como-H'],['Milan-A'],['Parma-H'],['Lazio-A'],['Torino-H'],['Cagliari-A'],['Cremonese-H'],['Napoli-A']
Verona,['Udinese-A'],['Lazio-A'],['Cremonese-H'],['Juventus-H'],['Roma-A'],['Sassuolo-H'],['Pisa-A'],['Cagliari-H'],['Como-A'],['Inter-H'],['Lecce-A'],['Parma-H'],['Genoa-A'],['Atalanta-H'],['Fiorentina-A'],['Bologna-H'],['Milan-A'],['Torino-H'],['Napoli-A'],['Lazio-H'],['Cremonese-A'],['Udinese-H'],['Cagliari-A'],['Pisa-H'],['Parma-A'],['Sassuolo-A'],['Napoli-H'],['Bologna-A'],['Genoa-H'],['Atalanta-A'],['Fiorentina-H'],['Torino-A'],['Milan-H'],['Lecce-H'],['Juventus-A'],['Como-H'],['Inter-A'],['Roma-H']
